datetime,price,hour,action,soc,energy_delta,revenue
2025-09-20 22:00:00,77.9208826943037,22,DISCHARGE,10.0,-10.0,701.2879442487333
2025-09-20 23:00:00,50.29066943446005,23,HOLD,10.0,0.0,0.0
2025-09-21 00:00:00,45.91912385023238,0,HOLD,10.0,0.0,0.0
2025-09-21 01:00:00,24.741414131085012,1,HOLD,10.0,0.0,0.0
2025-09-21 02:00:00,10.149143841744936,2,CHARGE,20.0,10.0,-101.49143841744936
2025-09-21 03:00:00,10.149143841744936,3,CHARGE,30.0,10.0,-101.49143841744936
2025-09-21 04:00:00,8.528348578352924,4,CHARGE,40.0,10.0,-85.28348578352924
2025-09-21 05:00:00,25.002172990495083,5,HOLD,40.0,0.0,0.0
2025-09-21 06:00:00,4.412448934723366,6,CHARGE,50.0,10.0,-44.124489347233656
2025-09-21 07:00:00,5.2305159446373155,7,CHARGE,60.0,10.0,-52.30515944637315
2025-09-21 08:00:00,3.2978326337156094,8,CHARGE,70.0,10.0,-32.97832633715609
2025-09-21 09:00:00,0.0409033504956974,9,CHARGE,80.0,10.0,-0.409033504956974
2025-09-21 10:00:00,-0.3681301544612773,10,CHARGE,90.0,10.0,3.681301544612773
2025-09-21 11:00:00,-9.91906249520664,11,CHARGE,100.0,10.0,99.1906249520664
2025-09-21 12:00:00,-14.658738233895583,12,HOLD,100.0,0.0,0.0
2025-09-21 13:00:00,-14.7916741230066,13,HOLD,100.0,0.0,0.0
2025-09-21 14:00:00,-3.170009663416555,14,HOLD,100.0,0.0,0.0
2025-09-21 15:00:00,-0.1175971326751302,15,HOLD,100.0,0.0,0.0
2025-09-21 16:00:00,9.469125639753967,16,HOLD,100.0,0.0,0.0
2025-09-21 17:00:00,92.47224963314808,17,DISCHARGE,90.0,-10.0,832.2502466983327
2025-09-21 18:00:00,106.12885577989908,18,DISCHARGE,80.0,-10.0,955.1597020190918
2025-09-21 19:00:00,119.5502676612998,19,DISCHARGE,70.0,-10.0,1075.952408951698
2025-09-21 20:00:00,115.63888477014874,20,DISCHARGE,60.0,-10.0,1040.7499629313386
2025-09-21 21:00:00,100.23877330851865,21,DISCHARGE,50.0,-10.0,902.1489597766678
2025-09-21 22:00:00,99.17017327681856,22,DISCHARGE,40.0,-10.0,892.531559491367
2025-09-21 23:00:00,86.4390054350327,23,DISCHARGE,30.0,-10.0,777.9510489152942
2025-09-22 00:00:00,79.47009709432824,0,DISCHARGE,20.0,-10.0,715.2308738489542
2025-09-22 01:00:00,75.89105392595471,1,DISCHARGE,10.0,-10.0,683.0194853335923
2025-09-22 02:00:00,72.87954474570898,2,DISCHARGE,0.0,-10.0,655.9159027113808
2025-09-22 03:00:00,71.77004136351319,3,HOLD,0.0,0.0,0.0
2025-09-22 04:00:00,71.94899352193187,4,HOLD,0.0,0.0,0.0
2025-09-22 05:00:00,86.1680207379987,5,HOLD,0.0,0.0,0.0
2025-09-22 06:00:00,116.02746659985786,6,HOLD,0.0,0.0,0.0
2025-09-22 07:00:00,127.37814636241391,7,HOLD,0.0,0.0,0.0
2025-09-22 08:00:00,25.85091751328081,8,HOLD,0.0,0.0,0.0
2025-09-22 09:00:00,8.441428958549569,9,CHARGE,10.0,10.0,-84.41428958549568
2025-09-22 10:00:00,5.097580055526299,10,CHARGE,20.0,10.0,-50.97580055526299
2025-09-22 11:00:00,2.592249837664828,11,CHARGE,30.0,10.0,-25.922498376648278
2025-09-22 12:00:00,0.1994038336665252,12,CHARGE,40.0,10.0,-1.9940383366652519
2025-09-22 13:00:00,5.107805893150223,13,CHARGE,50.0,10.0,-51.07805893150223
